Medication,Medication_Name,Additional_Info,FREQ,Dose_By_Name_MCG,Dose_By_Puff_MCG,Dose_By_Information
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; FREQ=QD; ROUTE=INH,1,80,160,160
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=2 PUFFS; DOSETYPE=R; ROUTE=INH,,80,160,160
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=2 PUFFS; FREQ=BID; ROUTE=INH,2,80,320,320
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=4 PUFFS; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,80,640,640
Beclomethasone dipropionate oral inhalation 80 mcg/puff - LMR 4638,Beclomethasone dipropionate,DOSE=80 PUFFS; FREQ=BID; ROUTE=INH,2,80,160,160
Beclomethasone inhaler-oncall,Beclomethasone dipropionate,,,,,80
Qvar 40 mcg/Actuation Metered Aerosol Oral Inhaler,Beclomethasone dipropionate,,,40,40,80
Qvar 80 mcg/Actuation Metered Aerosol Oral Inhaler,Beclomethasone dipropionate,,,80,80,80
Qvar-oncall,Beclomethasone dipropionate,,,,,80
Betamet acet/betamet na ph 12mg vial 2ml vial,Betamethasone,,,6000,6000,6000
Betamet acet/betamet na ph 6 mg/ml vial 5ml vial,Betamethasone,,,6000,6000,6000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,,,6000,6000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=1 MG; FREQ=Once; ROUTE=Syno,1,6000,1000,1000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=12 MG; FREQ=Daily; ROUTE=IM,1,6000,12000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=12 MG; FREQ=Daily; ROUTE=See Adm Inst,1,6000,12000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=12 MG; FREQ=Once; ROUTE=IAtc,1,6000,12000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=12 MG; FREQ=Once; ROUTE=IM,1,6000,12000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=12 MG; FREQ=Q24H; ROUTE=IM,1,6000,12000,12000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=30 MG; FREQ=Once; ROUTE=IAtc,1,6000,30000,30000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,DOSE=6 MG; FREQ=Once; ROUTE=See Adm Inst,1,6000,6000,6000
Betamethasone Acetate And Sodium Phos 6 mg/ml Suspension For Injection,Betamethasone,FREQ=Code/Trauma/Sedation Med;,,6000,6000,6000
Betamethasone soluspan - LMR 78,Betamethasone,,,,,6000
Budesonide - LMR 3748,Budesonide,,,,,
Budesonide - LMR 3748,Budesonide,DOSE=3 MG; DOSETYPE=R; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=3 MG; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=6 MG; DOSETYPE=R; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=9 MG; DOSETYPE=R; FREQ=QAM; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=9 MG; DOSETYPE=R; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=9 MG; FREQ=QAM; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSE=9 MG; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,DOSETYPE=R; FREQ=QD; ROUTE=PO,1,,,
Budesonide - LMR 3748,Budesonide,FREQ=QD; ROUTE=PO,1,,,
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,,,125,125,250
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID PRN; ROUTE=Nebu,2,125,250,250
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID RESP; ROUTE=Nebu,2,125,250,250
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID; ROUTE=Nebu,2,125,250,250
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID; ROUTE=Oral,2,125,250,250
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=Daily PRN;,1,125,125,125
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=Daily PRN; ROUTE=Nebu,1,125,125,125
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=Daily; ROUTE=Nebu,1,125,125,125
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=Once; ROUTE=Nebu,1,125,125,125
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=TID; ROUTE=Nebu,3,125,375,375
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=Nebu,2,125,500,500
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 MG; FREQ=Daily; ROUTE=Nebu,1,125,500,500
Budesonide 0.25 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 VIAL; ROUTE=Inhl,,125,125,125
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,,,250,250,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID RESP; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=BID; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.25 MG; FREQ=Daily PRN; ROUTE=Nebu,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=4x Daily; ROUTE=Nebu,4,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID Diuretic; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID PRN; ROUTE=Inhl,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID PRN; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID RESP; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=Inhl,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=Nasl,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Daily PRN; ROUTE=Nebu,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Daily RESP; ROUTE=Nebu,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Daily; ROUTE=Inhl,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Daily; ROUTE=Nebu,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Q12H PRN; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=Q8H; ROUTE=Nebu,3,250,750,750
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.75 MG; FREQ=BID RESP; ROUTE=Nebu,2,250,750,750
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.75 MG; FREQ=BID; ROUTE=Nebu,2,250,750,750
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 MG; FREQ=BID; ROUTE=Nebu,2,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 mL; FREQ=BID; ROUTE=Nebu,2,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 mL; FREQ=Daily; ROUTE=Nebu,1,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 mL; FREQ=PRN; ROUTE=Nebu,,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 mL; FREQ=See Admin Instructions; ROUTE=Nebu,,250,250,250
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 MG; FREQ=Daily; ROUTE=Nebu,1,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 mL; FREQ=BID PRN; ROUTE=Nebu,2,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 mL; FREQ=BID; ROUTE=Inhl,2,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 mL; FREQ=BID; ROUTE=Nebu,2,250,1000,1000
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 mL; FREQ=Daily; ROUTE=Nebu,1,250,500,500
Budesonide 0.5 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=500 MCG; FREQ=BID; ROUTE=Inhl,2,250,1000,1000
Budesonide 0.5mg ampul-neb 2ml vial,Budesonide,,,250,250,250
Budesonide 0.5mg ampul-neb.2 ml,Budesonide,,,250,250,250
Budesonide 0.6 mg Intranasal Solution Cmpd,Budesonide,,,300,300,300
Budesonide 0.6 mg Intranasal Solution Cmpd,Budesonide,DOSE=1 SPRAY; FREQ=Daily; ROUTE=Intranasal,1,300,300,300
Budesonide 0.6 mg Intranasal Solution Cmpd,Budesonide,DOSE=1 SPRAY; ROUTE=Intranasal,,300,300,300
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,,,500,500,2000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=Nebu,2,500,1000,1000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 MG; FREQ=BID Diuretic; ROUTE=Nebu,2,500,2000,2000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 MG; FREQ=BID; ROUTE=Nebu,2,500,2000,2000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 MG; FREQ=Daily; ROUTE=Nebu,1,500,1000,1000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=1 mL; FREQ=See Admin Instructions; ROUTE=Nebu,,500,500,500
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=2 MG; FREQ=BID; ROUTE=Nebu,2,500,2000,2000
Budesonide 1 mg/2 ml Suspension For Nebulization,Budesonide,DOSE=4 mL; FREQ=BID; ROUTE=Nebu,2,500,2000,2000
Budesonide 180 mcg aer pow ba 1 ea canister,Budesonide,,,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,,,180,180,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF;,,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=Daily; ROUTE=Inhl,1,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=PRN; ROUTE=Inhl,,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=TID; ROUTE=Inhl,3,180,540,540
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; ROUTE=Inhl,,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=180 PUFF;,,180,180,180
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=180 PUFF; FREQ=BID; ROUTE=Inhl,2,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,180,720,720
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,180,720,720
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,180,720,720
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=Nightly; ROUTE=Inhl,1,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=QPM; ROUTE=Inhl,1,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=TID; ROUTE=Inhl,3,180,1080,1080
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; ROUTE=Inhl,,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=3 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,180,1080,1080
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=3 PUFF; FREQ=BID; ROUTE=Inhl,2,180,1080,1080
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=4 PUFF; FREQ=BID; ROUTE=Inhl,2,180,1440,1440
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,PUFF; FREQ=BID; ROUTE=Inhl,2,180,360,360
Budesonide 180 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,PUFF; FREQ=See Admin Instructions; ROUTE=Inhl,,180,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,,,90,90,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,90,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,90,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=Daily; ROUTE=Inhl,1,90,90,90
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=1 PUFF; FREQ=PRN; ROUTE=Inhl,,90,90,90
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID PRN; ROUTE=Inhl,2,90,360,360
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID RESP; ROUTE=Inhl,2,90,360,360
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=BID; ROUTE=Inhl,2,90,360,360
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=Daily; ROUTE=Inhl,1,90,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=2 PUFF; FREQ=QOD; ROUTE=Inhl,0.5,90,90,90
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=3 PUFF; FREQ=BID; ROUTE=Inhl,2,90,540,540
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,DOSE=4 PUFF; FREQ=BID; ROUTE=Inhl,2,90,720,720
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,FREQ=BID; ROUTE=Inhl,2,90,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,PUFF; FREQ=BID; ROUTE=Inhl,2,90,180,180
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,PUFF; FREQ=Daily; ROUTE=Inhl,1,90,90,90
Budesonide 90 mcg/Actuation Breath Activated Powder Inhaler,Budesonide,ROUTE=Inhl,,90,90,90
Budesonide inh powder 180 mcg,Budesonide,,,180,180,180
Budesonide inhalation powder 9,Budesonide,,,,,360
Budesonide Inhl,Budesonide,,,,,360
Budesonide Inhl,Budesonide,DOSE=1 PUFF; FREQ=BID; ROUTE=Inhl,2,,,360
Budesonide nebulizer susp - LMR 4113,Budesonide,,,,,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; DOSETYPE=R; FREQ=BID; ROUTE=NEB,2,,500,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; DOSETYPE=R; FREQ=QD; ROUTE=NEB,1,,250,250
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; DOSETYPE=R; FREQ=QPM; ROUTE=NEB,1,,250,250
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; FREQ=BID; ROUTE=NEB,2,,500,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; FREQ=QD; ROUTE=NEB,1,,250,250
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.25 MG; FREQ=UD; ROUTE=NEB,,,250,250
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; DOSETYPE=R; FREQ=BID; ROUTE=NEB,2,,1000,1000
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; DOSETYPE=R; FREQ=QD; ROUTE=NEB,1,,500,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; DOSETYPE=R; FREQ=QID; ROUTE=NEB,4,,2000,2000
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; DOSETYPE=R; FREQ=TID; ROUTE=NEB,3,,1500,1500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; DOSETYPE=R; ROUTE=NEB,,,500,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=INH,2,,1000,1000
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; FREQ=BID; ROUTE=NEB,2,,1000,1000
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=0.5 MG; FREQ=QD; ROUTE=NEB,1,,500,500
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=1 MG; DOSETYPE=R; FREQ=BID; ROUTE=INH,2,,2000,2000
Budesonide nebulizer susp - LMR 4113,Budesonide,DOSE=1 MG; DOSETYPE=R; FREQ=BID; ROUTE=NEB,2,,2000,2000
Budesonide nebulizer susp - LMR 4113,Budesonide,FREQ=QD; ROUTE=NEB,1,,,500
Budesonide nebulizer suspension-oncall,Budesonide,,,,,500
Budesonide oral inhaler (pulmicort) - LMR 2895,Budesonide,,,,,400
