Medication_Name	Medication_Biobank_Folder	Medication_GWAS_Group	Medication_Pegasus_Group	Search_Term	Ignore.case	Perl
Fexofenadine	"Antihistamines, butyrophenone"	Oral Antihistamines		^.*Cetirizine((?![Pp]seudoephedrine).)*$|Zyrtec( |-)[^dDI]|Mycostatin|[Nn]ystatin(((?![Tt]opical).)*cream|.*(k unit|topical.*oncall))|Nystop.*Pad	FALSE	TRUE
Fexofenadine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		[Ff]exofenadine.*[Pp]seudoephedrine|[Aa]llegra.[Dd]	FALSE	FALSE
Flunisolide	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	Flunisolide((?![Nn]asal).)*$|Aerobid	FALSE	TRUE
Flunisolide	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Flunisolide.*[Nn]asal|Nasalide	FALSE	FALSE
Fluticasone	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Advair	Arnuity|Flovent|^Fluticasone((?!%|[Ss]almeterol|[Vv]ilanterol|[Nn]as(a)*l|Inhl|2243|16gm s|diskus|Top).)*$|Id-Fluticasone|Veramyst((?![Nn]asal).)*$	FALSE	TRUE
Fluticasone	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Fluticasone (.*(Inhl|Nasl|Suspension)|propionate (0.05|16))|[Ff]lonase|Veramyst.*Suspension	FALSE	FALSE
Fluticasone/salmeterol	"Antiasthma, other"	Inhaled Corticosteroids and Long Acting Beta Agonists		Advair|[Ff]luticasone.*[Ss]almeterol	FALSE	FALSE
Fluticasone/vilanterol	"Antiasthma, other"	Inhaled Corticosteroids and Long Acting Beta Agonists		Breo|[Ff]luticasone.*[Vv]ilanterol	FALSE	FALSE
Formoterol	"Bronchodilators, sympathomimetic, inhalation"	Long Acting Beta Agonists		^Formoterol|Foradil	FALSE	FALSE
Formoterol/mometasone	"Antiasthma, other"	Inhaled Corticosteroids and Long Acting Beta Agonists		Dulera|[Mm]ometasone.*[Ff]ormoterol	FALSE	FALSE
Guaifenesin/theophylline	"Antiasthma, other"			Theophylline + guaifenesin	FALSE	FALSE
Hydrocortisone	Glucocorticoids		Hydrocortisone	((?!Neo-).)*Cortef|^Hydrocortisone +(\(|-|1((?!(%|blist|enema|Teva)).)*$|2((?!%|cream).)*$|5((?!topical).)$|Acetate Inj|inj|IVPB 100|oral|Sod.*((?!D5w).)*|tab)|Hydrocortisone-oncall|Id-Hydrocortisone((?!%).)*$	TRUE	TRUE
Hydroxyzine	"Antihistamines, piperazine"	Oral Antihistamines		^.*Loratadine((?![Pp]seudoephedrine).)*$|Alavert|Claritin( |-)[^dD]|Wal-ltin|Allerclear|Id-Alisertib	FALSE	TRUE
Indacaterol	"Bronchodilators, sympathomimetic, inhalation"	Long Acting Beta Agonists		Indacaterol	FALSE	FALSE
Ipratropium	"Bronchodilators, anticholinergic"	Inhaled Anticholinergics		^Atrovent((?![Nn]as|Hfa Inhl|%).)*$|^[Id-]*Ipratropium[^-](albuterol.*neb |((?!albuterol|[Ss]pray|[Mm]ist|[Nn]asal|MGH|Dose).)*$)	FALSE	TRUE
Ipratropium	"Nasal and throat, topical, other"	Intranasal Anticholinergics		Ipratropium .*([Nn]asal|[Ss]ray)|Atrovent ([Nn]as|Hfa Inhl)	FALSE	FALSE
Ipratropium/albuterol	"Antiasthma, antileukotrienes"	Short Acting Beta Agonists and Anticholinergics		Ipratropium/albuterol 3 ml	FALSE	FALSE
Isoetharine	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		Bronkometer|Isoetharine	FALSE	FALSE
Isoproterenol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		Isoproterenol hcl (-|1m)	FALSE	FALSE
Levalbuterol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		^Levalbuterol((?![Cc]o).)*$|Xopenex	FALSE	TRUE
Levocetirizine	"Antihistamines, piperazine"	Oral Antihistamines		^.*Promethazine[^/]((?!MGH|Codeine|dm|Syr In).)*$|^.*Phenergan((?!codeine|MGH).)*$|Phenadoz|Promethegan	FALSE	TRUE
Loratadine	"Antihistamines, other"	Oral Antihistamines		Allegra.[^d]|Fenofexidine|^Fexofenadine((?![Pp]seudoephedrine).)*$|Mucinex Allergy	FALSE	TRUE
Loratadine/pseudoephedrine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Loratadine.*[Pp]seudoephedrine|(Claritin|Wal-ltin).[Dd]	FALSE	FALSE
Mepolizumab	CPT medications	Mepolizumab		mepolizumab	FALSE	FALSE
Metaproterenol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		^Alupent[^-]|Metaproterenol.*(inhaler|nebulizer)	FALSE	FALSE
Metaproterenol	"Bronchodilators, sympathomimetic, oral"	Short Acting Beta Agonists		^Alupent-|Metaproterenol (10|20|syrup|tablets)	FALSE	FALSE
Methylprednisolone	Glucocorticoids	IV Steroids	Oral Steroids	"^(Depo.|Solu){0,1}[Mm]edrol((?!\(MGH\)).)*$|^(Id-)*Methylpred((?!\(MGH\)|oral|oint|HC).)*$|Osm_Mix Mannitol"	FALSE	TRUE
Mometasone	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids	Inhaled Steroids	Asmanex|Mometasone.*(Powder|Hfa Aerosol)	FALSE	FALSE
Mometasone	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Mometasone.*([Nn]asal|furoate((?!%|[Oo]intment|[Pp]owder|[Cc]ream|lotion).)*$)|Nasonex	FALSE	TRUE
Montelukast	"Antiasthma, other"	Antileukotrienes	Leukotrienes	Montelukast|Singulair	FALSE	FALSE
Nedocromil	"Anti-inflammatories, inhalation"	Inhaled Chormones		Nedocromil sodium	FALSE	FALSE
Olodaterol/tiotropium	"Antiasthma, other"		Leukotrienes	Stiolto|Tiotropium.*Olodaterol	FALSE	FALSE
Olopatadine	"Antihistamines, nasal"	Intranasal Antihistamines		Olopatadine.*Nas	FALSE	FALSE
Omalizumab	CPT medications	Omalizumab		[Oo]malizumab((?!MGH).)*$	FALSE	TRUE
Omalizumab	Immune suppressants	Omalizumab		[Oo]malizumab((?!MGH).)*$	FALSE	TRUE
Oxtriphylline	"Bronchodilators, xanthine-derivative"	Xanthines		Choledyl|Oxtriphylline	FALSE	FALSE
Oxymetazoline	"Decongestants, nasal"	Intranasal Decongestants		Oxymetazoline (hcl|0.05)|A(ne)*frin|Genasal	FALSE	FALSE
Phenylephrine	"Decongestants, nasal"	Intranasal Decongestants		^Phenylephrine (.*(%.*([Nn]asal|[Ss]pray))|hcl (0|1%|2.5%.*LMR))|Neo-synephrine	FALSE	FALSE
Phenylephrine	"Decongestants, systemic"	Oral Decongestants		Phenylephrine (- LMR|.*([Oo]ral|[Tt]ablet))	FALSE	FALSE
Phenylephrine/promethazine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Phenylephrine.*[Pp]romethazine|[Pp]romethazine.*[Pp]henylephrine	FALSE	FALSE
Phenylpropanolamine	"Decongestants, systemic"	Oral Decongestants		Phenylpropanolamine	FALSE	FALSE
Pirbuterol	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		Maxair|Pirbuterol	FALSE	FALSE
Prednisolone	Glucocorticoids	Oral Corticosteroids	Oral Steroids	Methotrexate.*BWH$|Orapred|Prednisolone((?![Oo][Pp][Hh][Tt]|[Ee]ye|MGH|per 5 mg|1%).)*$|Pred forte|Prelone	FALSE	TRUE
Prednisone	Glucocorticoids	Oral Corticosteroids	Oral Steroids	Predni[Ss][Oo][Nn][Ee]((?!MGH|oOral|ir).)*$|Rayos	FALSE	TRUE
Promethazine	"Antihistamines, phenothiazine"	Oral Antihistamines		Atarax|Hydroxyzine((?! up).)*$|Vistaril	FALSE	TRUE
Pseudoephedrine	"Decongestants, systemic"	Oral Decongestants		^Pseudoephedrine[^/-]((?![Tt]riprolidine).)*$|Sudafed|^Nasal Decongestant	FALSE	TRUE
Pseudoephedrine/terfenadine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Seldane.[Dd]	FALSE	FALSE
Pseudoephedrine/triprolidine	Antihistamine/decongestant	Oral Antihistamines and Oral Decongestants		Pseudoephedrine.*[Tt]riprolidine|[Tt]riprolidine.*[Pp]seudoephedrine|Actifed|Unifed	FALSE	FALSE
Salmeterol	"Bronchodilators, sympathomimetic, inhalation"	Long Acting Beta Agonists		^Salmet|Serevent((?!21).)*$	FALSE	TRUE
Terbutaline	"Bronchodilators, sympathomimetic, inhalation"	Short Acting Beta Agonists		^Brethine-oncall|Terbutaline(-| (1.*ampul|1000|sulf |sulfate -))	FALSE	FALSE
Terbutaline	"Bronchodilators, sympathomimetic, oral"	Short Acting Beta Agonists		^Terbutaline.* [Tt]ablet$	FALSE	FALSE
Terfenadine	"Antihistamines, butyrophenone"	Oral Antihistamines		Chlor(( |-)trimeton|pheniramine( (2|4|E|s|t|m.*LMR)|-o|\)))	FALSE	FALSE
Tetrahydrozoline	"Decongestants, nasal"	Intranasal Decongestants		"Tetrahydrozoline.*([Nn]asal|hcl)|Tyzine"""	FALSE	FALSE
Theophylline	"Bronchodilators, xanthine-derivative"	Xanthines	Theophylline	Slo |Theo|Uniphyl	FALSE	FALSE
Tiotropium	"Bronchodilators, anticholinergic"	Inhaled Anticholinergics		Spiriva|Tiotropium((?!Olodaterol).)*$	FALSE	TRUE
Triamcinolone	"Anti-inflammatories, inhalation"	Inhaled Corticosteroids		Azmacort((?!oncall).)*$|Nasacort 55 mcg/inh|Triamcinolone( inhaler-oncall|.*adap)$	FALSE	TRUE
Triamcinolone	"Anti-inflammatories, nasal"	Intranasal Corticosteroids		Triamcinolone ([Aa]cetonide.*([Nn]as(a)*l|762|tube)|diacetate|hexacetonide|nasal)|Nasacort.([Aa][Qq]|.*(Nasl|oncall|Aerosol)$)|Azmacort.*oncall$|Kenalog inj	FALSE	FALSE
Triamcinolone	Glucocorticoids		Triamcinolone	^Triamcinolone *(\(|-|1|Oral|acetonide ((?!762|Adap|Dental|Jar|Kenalog|Kit|Lotion|Nas|Top).)*$|diacetate|hexacetonide 20)	TRUE	TRUE
Tripelennamine	"Antihistamines, ethylenediamine"	Oral Antihistamines		^Dimenhydrinate|^Dramamine	FALSE	FALSE
Umeclidinium	"Anti-inflammatories, inhalation"	Inhaled Anticholinergics	Umeclidinium	Incruse|Umeclidinium((?!Vilanterol).)*$	FALSE	TRUE
Umeclidinium/vilanterol	"Antiasthma, other"			Anoro|^Umeclidinium.*Vilanterol	FALSE	FALSE
Zafirlukast	"Antiasthma, other"	Antileukotrienes		Accolate|Zafirlukast	FALSE	FALSE
Zileuton	"Antiasthma, other"	Antileukotrienes		Zileuton|Zyflo	FALSE	FALSE
